ad_id,campaign_name,ad_date,location,device,keyword,impressions,clicks,leads,conversions,conversion_rate,cost_amount,sale_amount
A1000,data analytics course,2024-11-16 00:00:00,hyderabad,desktop,learn data analytics,4498.0,104.0,14.0,7.0,0.067,231.88,1892.0
A1001,data analytics course,2024-11-20 00:00:00,hyderabad,mobile,data analytics course,5107.0,173.0,10.0,8.0,0.046,216.84,1679.0
A1002,data analytics course,2024-11-16 00:00:00,hyderabad,desktop,data analitics online,4544.0,90.0,26.0,9.0,0.1,203.66,1624.0
A1003,data analytics course,2024-11-26 00:00:00,hyderabad,tablet,data anaytics training,3185.0,142.0,17.0,6.0,0.042,237.66,1225.0
A1004,data analytics course,2024-11-22 00:00:00,hyderabad,desktop,online data analytic,3361.0,156.0,30.0,8.0,0.051,195.9,1091.0
A1005,data analytics course,2024-11-16 00:00:00,hyderabad,mobile,data anaytics training,3776.0,195.0,10.0,8.0,0.041,243.57,1315.0
A1006,data analytics course,2024-11-06 00:00:00,hyderabad,tablet,data analytics course,4480.0,116.0,17.0,5.0,0.043,237.79,1640.0
A1007,data analytics course,2024-11-24 00:00:00,hyderabad,tablet,analytics for data,5060.0,184.0,23.0,3.0,0.016,229.61,1509.0
A1008,data analytics course,2024-11-24 00:00:00,hyderabad,tablet,data anaytics training,5434.0,113.0,27.0,4.0,0.035,213.11399999999998,1362.0
A1009,data analytics course,2024-11-12 00:00:00,hyderabad,mobile,online data analytic,3355.0,166.0,24.0,9.0,0.054,186.78,1029.0
A1010,data analytics course,2024-11-14 00:00:00,hyderabad,desktop,learn data analytics,5399.0,101.0,20.0,6.0,0.059,236.79,1900.0
A1011,data analytics course,2024-11-22 00:00:00,hyderabad,desktop,online data analytic,3613.0,101.0,24.0,5.0,0.05,208.12,1130.0
A1012,data analytics course,2024-11-27 00:00:00,hyderabad,desktop,data analitics online,3259.0,125.0,18.0,3.0,0.024,191.3,1959.0
A1013,data analytics course,2024-11-12 00:00:00,hyderabad,mobile,data anaytics training,3742.0,196.0,10.0,7.0,0.036,207.46,1623.0
A1014,data analytics course,2024-11-04 00:00:00,hyderabad,desktop,data anaytics training,4311.0,181.0,11.0,9.0,0.05,185.09,1538.0
A1015,data analytics course,2024-11-29 00:00:00,hyderabad,desktop,data analytics course,5461.0,102.0,22.0,8.0,0.078,201.69,1755.0
